Datum;vodostaj (cm);pretok (m3/s);temp. vode (°C)
01.01.2018;147;45.819;6.3
02.01.2018;177;79.086;6.1
03.01.2018;158;57.583;5.7
04.01.2018;149;47.192;5.4
05.01.2018;141;39.292;6.4
06.01.2018;141;39.298;7.8
07.01.2018;146;43.875;8.3
08.01.2018;143;40.737;7.9
09.01.2018;141;39.304;7.7
10.01.2018;211;121.081;7.4
11.01.2018;176;77.997;7
12.01.2018;158;56.864;6.9
13.01.2018;147;44.977;6.9
14.01.2018;141;39.315;6.2
15.01.2018;137;34.732;5.3
16.01.2018;134;32.191;5.5
17.01.2018;132;30.569;6
18.01.2018;128;27.108;5.1
19.01.2018;129;27.946;5.6
20.01.2018;130;28.603;5.8
21.01.2018;126;25.359;5.6
22.01.2018;123;22.71;5.1
23.01.2018;121;20.915;5.1
24.01.2018;118;19.188;4.8
25.01.2018;117;18.322;4.9
26.01.2018;116;17.622;6.1
27.01.2018;115;16.739;5.9
28.01.2018;113;15.688;6
29.01.2018;112;14.985;5.9
30.01.2018;112;14.958;6
31.01.2018;112;14.905;5.7
01.02.2018;114;16.146;6.5
02.02.2018;154;53.578;5.5
03.02.2018;147;45.61;4.2
04.02.2018;138;36.102;4.8
05.02.2018;134;32.079;4.7
06.02.2018;131;29.458;5
07.02.2018;130;28.905;4.1
08.02.2018;128;26.716;4.6
09.02.2018;128;27.28;5.3
10.02.2018;128;26.89;5.3
11.02.2018;127;26.152;5.1
12.02.2018;128;26.718;4.2
13.02.2018;126;24.914;4.3
14.02.2018;123;22.616;4.5
15.02.2018;120;20.259;3.8
16.02.2018;118;19.308;4.1
17.02.2018;118;19.187;4.9
18.02.2018;124;23.625;5
19.02.2018;125;24;4.8
20.02.2018;123;22.969;4.6
21.02.2018;122;21.928;4.5
22.02.2018;121;21.1;3.8
23.02.2018;120;20.164;3.4
24.02.2018;118;18.83;3.9
25.02.2018;116;17.481;2.8
26.02.2018;114;15.936;1.5
27.02.2018;114;16.153;1.5
28.02.2018;112;15.079;1.3
01.03.2018;111;14.143;1.1
02.03.2018;111;14.564;1.6
03.03.2018;112;14.643;2
04.03.2018;110;13.839;3.4
05.03.2018;110;13.711;4.1
06.03.2018;113;15.369;3.5
07.03.2018;117;18.736;4.6
08.03.2018;139;37.394;4.9
09.03.2018;161;61.209;4.9
10.03.2018;197;103.975;5.2
11.03.2018;209;118.36;5.6
12.03.2018;239;158.162;6.4
13.03.2018;216;127.554;6.9
14.03.2018;198;104.314;7.4
15.03.2018;179;82.169;7.3
16.03.2018;178;80.747;7.4
17.03.2018;189;94.578;6.8
18.03.2018;203;111.323;6.2
19.03.2018;174;76.562;5.3
20.03.2018;158;57.925;5.1
21.03.2018;148;45.604;5.5
22.03.2018;140;38.327;5.6
23.03.2018;137;34.647;5.3
24.03.2018;133;31.324;6
25.03.2018;129;28.073;6.2
26.03.2018;126;25.426;6.6
27.03.2018;124;23.564;7.6
28.03.2018;124;23.364;8.1
29.03.2018;125;24.632;8.6
30.03.2018;256;184.338;7.8
31.03.2018;223;137.087;7.8
01.04.2018;211;121.088;7.9
02.04.2018;178;80.897;8.1
03.04.2018;162;62.226;8.8
04.04.2018;156;54.882;9.2
05.04.2018;156;54.594;9.3
06.04.2018;156;55.461;9.6
07.04.2018;149;46.731;9.6
08.04.2018;143;41.261;9.9
09.04.2018;143;41.378;10.4
10.04.2018;147;45.331;10.5
11.04.2018;148;46.244;10.5
12.04.2018;151;49.346;10.7
13.04.2018;179;82.519;10
14.04.2018;161;60.826;10.1
15.04.2018;151;48.814;10.8
16.04.2018;160;59.853;11.2
17.04.2018;260;188.903;11.2
18.04.2018;194;100.622;10.7
19.04.2018;174;75.817;11.1
20.04.2018;163;63.092;11.7
21.04.2018;157;56.665;12.1
22.04.2018;152;50.911;12.5
23.04.2018;149;47.074;12.4
24.04.2018;145;43.271;12.7
25.04.2018;140;38.199;12.9
26.04.2018;142;39.684;13
27.04.2018;153;52.076;12.3
28.04.2018;140;37.552;12.5
29.04.2018;136;34.417;13.2
30.04.2018;134;32.545;13.5
01.05.2018;132;30.094;12.9
02.05.2018;126;25.393;13.4
03.05.2018;126;25.433;14.3
04.05.2018;130;28.42;13.9
05.05.2018;183;86.494;13.2
06.05.2018;152;50.246;13
07.05.2018;138;36.275;13.8
08.05.2018;131;29.238;14.1
09.05.2018;128;26.721;14.3
10.05.2018;124;23.565;14.6
11.05.2018;122;21.867;14.7
12.05.2018;120;20.788;14.7
13.05.2018;122;21.965;15.5
14.05.2018;133;34.24;15.5
15.05.2018;218;129.679;13.5
16.05.2018;172;73.12;12.4
17.05.2018;147;45.576;13.1
18.05.2018;137;35.298;13.5
19.05.2018;133;31.637;14
20.05.2018;130;28.873;14.2
21.05.2018;126;25.658;14.7
22.05.2018;123;23.763;14.5
23.05.2018;122;22.565;14.5
24.05.2018;123;24.164;15
25.05.2018;135;34.318;15.7
26.05.2018;126;25.562;16.2
27.05.2018;121;22.134;17.1
28.05.2018;133;31.793;16.7
29.05.2018;130;28.962;16.2
30.05.2018;149;47.209;15.2
31.05.2018;156;55.14;15.7
01.06.2018;137;34.945;16.1
02.06.2018;133;32.814;16.8
03.06.2018;144;43.404;16.8
04.06.2018;125;24.685;17.6
05.06.2018;123;23.409;17.8
06.06.2018;122;22.582;17.4
07.06.2018;117;19.128;17.9
08.06.2018;115;18.111;18
09.06.2018;125;24.892;18.1
10.06.2018;117;19.441;18.8
11.06.2018;119;20.518;19.1
12.06.2018;121;23.552;18.9
13.06.2018;124;24.688;17.8
14.06.2018;118;19.81;17.2
15.06.2018;115;17.876;16.7
16.06.2018;111;15.202;17.3
17.06.2018;109;13.971;17.1
18.06.2018;110;14.563;18.2
19.06.2018;106;12.268;19.1
20.06.2018;105;11.793;19.7
21.06.2018;104;11.352;20.7
