Datum;pretok (m3/s)
01.01.2018;199.104
02.01.2018;234.621
03.01.2018;192.017
04.01.2018;214.858
05.01.2018;221.596
06.01.2018;189.346
07.01.2018;184.983
08.01.2018;219.029
09.01.2018;298.225
10.01.2018;336.733
11.01.2018;342.979
12.01.2018;333.267
13.01.2018;277.879
14.01.2018;243.433
15.01.2018;226.775
16.01.2018;239.483
17.01.2018;244.471
18.01.2018;226.45
19.01.2018;246.979
20.01.2018;228.746
21.01.2018;201.008
22.01.2018;235.483
23.01.2018;228.275
24.01.2018;182.067
25.01.2018;194.533
26.01.2018;215.071
27.01.2018;206.546
28.01.2018;160.346
29.01.2018;158.338
30.01.2018;185.163
31.01.2018;179.271
01.02.2018;222.338
02.02.2018;227.396
03.02.2018;207.758
04.02.2018;172.838
05.02.2018;191.158
06.02.2018;196.621
07.02.2018;221.063
08.02.2018;197.979
09.02.2018;207.929
10.02.2018;188.329
11.02.2018;137.533
12.02.2018;181.413
13.02.2018;200.238
14.02.2018;183.946
15.02.2018;174.975
16.02.2018;184.296
17.02.2018;187.454
18.02.2018;138.288
19.02.2018;212.554
20.02.2018;196.213
21.02.2018;171.754
22.02.2018;199.663
23.02.2018;186.15
24.02.2018;145.125
25.02.2018;124.433
26.02.2018;152.908
27.02.2018;192.938
28.02.2018;159.229
01.03.2018;132.958
02.03.2018;168.267
03.03.2018;153.392
04.03.2018;140.492
05.03.2018;160.408
06.03.2018;197.429
07.03.2018;193.763
08.03.2018;167.225
09.03.2018;170.608
10.03.2018;137.467
11.03.2018;174.575
12.03.2018;329.313
13.03.2018;285.217
14.03.2018;274.154
15.03.2018;257.346
16.03.2018;304.788
17.03.2018;245.613
18.03.2018;188.95
19.03.2018;295.029
20.03.2018;276.821
21.03.2018;254.788
22.03.2018;216.058
23.03.2018;250.171
24.03.2018;206.408
25.03.2018;163.523
26.03.2018;222.475
27.03.2018;218.758
28.03.2018;204.025
29.03.2018;197.733
30.03.2018;293.479
31.03.2018;344.75
01.04.2018;361.558
02.04.2018;307.125
03.04.2018;274.238
04.04.2018;300.146
05.04.2018;335.233
06.04.2018;307.538
07.04.2018;259.033
08.04.2018;286.033
09.04.2018;290.333
10.04.2018;301.65
11.04.2018;310.129
12.04.2018;366.429
13.04.2018;508.392
14.04.2018;423.1
15.04.2018;387.117
16.04.2018;484.683
17.04.2018;565.408
18.04.2018;545.592
19.04.2018;491.992
20.04.2018;482.083
21.04.2018;538.663
22.04.2018;520.908
23.04.2018;502.413
24.04.2018;544.158
25.04.2018;549.05
26.04.2018;559.783
27.04.2018;625.121
28.04.2018;543.75
29.04.2018;481.379
30.04.2018;513.742
