Datum;vodostaj (cm);pretok (m3/s);temp. vode (°C)
01.01.2018;166;120.169;5.9
02.01.2018;192;169.328;5.7
03.01.2018;180;144.289;5.8
04.01.2018;163;113.891;5.6
05.01.2018;159;107.046;6
06.01.2018;161;110.757;6.7
07.01.2018;175;137.9;7.1
08.01.2018;178;140.385;7.1
09.01.2018;197;182.453;7.1
10.01.2018;226;252.54;7
11.01.2018;203;194.441;6.8
12.01.2018;184;153.948;6.5
13.01.2018;170;125.187;6.4
14.01.2018;157;103.073;6.3
15.01.2018;156;100.325;5.9
16.01.2018;150;90.951;5.7
17.01.2018;150;90.332;5.9
18.01.2018;147;86.462;5.5
19.01.2018;142;78.704;5.6
20.01.2018;133;65.795;5.8
21.01.2018;138;72.217;5.7
22.01.2018;139;75.241;5.4
23.01.2018;133;65.624;5.4
24.01.2018;133;64.934;5.3
25.01.2018;138;71.665;5.2
26.01.2018;133;65.92;5.8
27.01.2018;132;63.582;5.7
28.01.2018;128;57.749;5.8
29.01.2018;121;49.46;5.9
30.01.2018;116;42.515;6
31.01.2018;121;49.156;6.2
01.02.2018;131;64.282;6.4
02.02.2018;199;188.286;5.5
03.02.2018;181;145.965;4.6
04.02.2018;160;108.262;4.9
05.02.2018;150;92.24;5.3
06.02.2018;141;77;5.3
07.02.2018;142;79.252;4.7
08.02.2018;143;80.013;5.2
09.02.2018;137;70.875;5.3
10.02.2018;137;69.824;5.5
11.02.2018;127;57.275;5.6
12.02.2018;137;70.495;5.3
13.02.2018;133;65.268;5.3
14.02.2018;131;62.724;5
15.02.2018;129;58.951;4.5
16.02.2018;125;54.461;4.5
17.02.2018;125;53.419;5
18.02.2018;126;55.29;5.1
19.02.2018;127;56.387;4.9
20.02.2018;130;61.505;5.1
21.02.2018;130;61.35;5.3
22.02.2018;129;60.619;5.2
23.02.2018;122;51.124;4.8
24.02.2018;116;43.057;5.1
25.02.2018;115;42.412;4.6
26.02.2018;114;41.261;3.8
27.02.2018;121;49.135;4
28.02.2018;121;48.451;3.7
01.03.2018;117;44.329;3.3
02.03.2018;114;41.111;3.5
03.03.2018;116;42.654;3.5
04.03.2018;116;43.432;3.9
05.03.2018;119;46.012;4.2
06.03.2018;117;44.43;4
07.03.2018;119;46.786;4.9
08.03.2018;127;57.519;5.4
09.03.2018;135;67.905;5.4
10.03.2018;143;79.373;5.8
11.03.2018;164;114.807;5.9
12.03.2018;278;401.522;5.8
13.03.2018;244;299.505;6.3
14.03.2018;225;245.3;6.6
15.03.2018;209;206.767;6.6
16.03.2018;215;223.031;6.6
17.03.2018;200;186.703;6.4
18.03.2018;196;174.162;6
19.03.2018;186;152.551;5.4
20.03.2018;173;126.687;5.1
21.03.2018;160;102.627;5.3
22.03.2018;154;93.663;5.4
23.03.2018;151;88.22;5.6
24.03.2018;148;83.71;6.1
25.03.2018;143;75.607;6.3
26.03.2018;141;73.158;6.7
27.03.2018;140;71.199;7.1
28.03.2018;139;70.313;7.4
29.03.2018;148;84.39;7.7
30.03.2018;229;260.532;7.5
31.03.2018;235;275.075;7.4
01.04.2018;234;269.857;7.2
02.04.2018;200;183.568;7.4
03.04.2018;180;140.18;7.8
04.04.2018;176;133.613;8
05.04.2018;182;145.453;8.2
06.04.2018;184;150.81;8.4
07.04.2018;172;126.675;8.5
08.04.2018;169;119.979;8.8
09.04.2018;165;116.474;8.9
10.04.2018;172;126.877;9
11.04.2018;179;138.645;9
12.04.2018;205;199.874;8.9
13.04.2018;265;357.169;8.3
14.04.2018;226;250.005;8.4
15.04.2018;203;190.714;8.8
16.04.2018;215;221.366;9
17.04.2018;218;229.363;9.3
18.04.2018;206;199.711;9.4
19.04.2018;199;182.021;9.5
20.04.2018;194;171.478;9.8
21.04.2018;190;163.821;10.1
22.04.2018;191;163.843;10.4
23.04.2018;192;165.13;10.7
24.04.2018;189;160.144;10.7
25.04.2018;181;142.05;10.6
26.04.2018;179;139.114;10.7
27.04.2018;188;158.115;10.4
28.04.2018;176;132.428;10.4
29.04.2018;173;126.4;10.6
30.04.2018;174;127.436;11
01.05.2018;173;126.739;10.8
02.05.2018;168;117.169;10.5
03.05.2018;162;106.604;11
04.05.2018;171;122.604;11.2
05.05.2018;189;158.676;10.6
06.05.2018;173;126.411;10.8
07.05.2018;169;120.158;11.2
08.05.2018;165;112.333;11.4
09.05.2018;170;120.76;11.5
10.05.2018;169;118.722;11.3
11.05.2018;162;106.162;11.1
12.05.2018;153;92.559;11.5
13.05.2018;157;98.307;11.9
14.05.2018;160;102.635;11.7
15.05.2018;174;129.882;11.3
16.05.2018;177;135.878;10.7
17.05.2018;165;113.005;10.6
18.05.2018;157;98.23;11.2
19.05.2018;157;98.477;11.5
20.05.2018;151;89.01;11.7
21.05.2018;152;89.914;11.8
22.05.2018;149;86.114;11.8
23.05.2018;152;92.039;11.7
