Datum;vodostaj (cm);pretok (m3/s);temp. vode (°C)
01.01.2018;507;;3.2
02.01.2018;514;;2.9
03.01.2018;519;;2.8
04.01.2018;517;;3
05.01.2018;509;;3.3
06.01.2018;500;;3.6
07.01.2018;500;;3.6
08.01.2018;503;;3.7
09.01.2018;481;;3.9
10.01.2018;479;;4
11.01.2018;493;;4.2
12.01.2018;481;;4.3
13.01.2018;477;;4.3
14.01.2018;500;;4.3
15.01.2018;469;;4.1
16.01.2018;479;;4.1
17.01.2018;493;;4
18.01.2018;512;;3.9
19.01.2018;500;;4
20.01.2018;496;;3.8
21.01.2018;481;;3.8
22.01.2018;486;;3.6
23.01.2018;474;;3.8
24.01.2018;499;;3.7
25.01.2018;477;;3.7
26.01.2018;487;;3.7
27.01.2018;464;;3.6
28.01.2018;489;;3.7
29.01.2018;477;;3.8
30.01.2018;490;;3.8
31.01.2018;501;;3.8
01.02.2018;503;;3.8
02.02.2018;501;;3.7
03.02.2018;507;;3.5
04.02.2018;517;;3.5
05.02.2018;499;;3.4
06.02.2018;487;;3.4
07.02.2018;475;;3.1
08.02.2018;512;;3.2
09.02.2018;501;;3.5
10.02.2018;481;;3.5
11.02.2018;500;;3.6
12.02.2018;491;;3.6
13.02.2018;497;;3.6
14.02.2018;471;;3.5
15.02.2018;497;;3.3
16.02.2018;480;;3.4
17.02.2018;481;;3.6
18.02.2018;505;;3.7
19.02.2018;487;;3.5
20.02.2018;503;;3.4
21.02.2018;519;;3.4
22.02.2018;486;;3.1
23.02.2018;502;;2.8
24.02.2018;509;;2.9
25.02.2018;514;;2.7
26.02.2018;510;;2.4
27.02.2018;505;;2.2
28.02.2018;468;;2
01.03.2018;482;;1.4
02.03.2018;485;;1.3
03.03.2018;492;;1.7
04.03.2018;484;;2.1
05.03.2018;500;;2.2
06.03.2018;496;;2.3
07.03.2018;488;;3
08.03.2018;492;;3.5
09.03.2018;478;;3.8
10.03.2018;482;;4.3
11.03.2018;486;;4.6
12.03.2018;516;;4.8
13.03.2018;508;;5.1
14.03.2018;508;;5.2
15.03.2018;492;;5.6
16.03.2018;507;;6
17.03.2018;495;;5.8
18.03.2018;476;;5.5
19.03.2018;496;;5.2
20.03.2018;482;;5
21.03.2018;497;;5.1
22.03.2018;492;;5.4
23.03.2018;502;;5.2
24.03.2018;478;;5.5
25.03.2018;473;;5.5
26.03.2018;500;;5.6
27.03.2018;505;;6
28.03.2018;496;;6.3
29.03.2018;502;;6.7
30.03.2018;503;;6.9
31.03.2018;504;;7
01.04.2018;489;;7.1
02.04.2018;503;;7.5
03.04.2018;501;;7.9
04.04.2018;494;;8.3
05.04.2018;488;;8.7
06.04.2018;475;;9
07.04.2018;485;;9.2
08.04.2018;497;;9.7
09.04.2018;503;;10
10.04.2018;504;;10
11.04.2018;502;;10.2
12.04.2018;521;;10.4
13.04.2018;516;;10.8
14.04.2018;513;;10.8
15.04.2018;511;;11.1
16.04.2018;507;;11.4
17.04.2018;516;;11.2
18.04.2018;524;;10.8
19.04.2018;521;;10.7
20.04.2018;508;;11.1
21.04.2018;516;;11.5
22.04.2018;510;;11.8
23.04.2018;508;;12.1
24.04.2018;514;;12.3
25.04.2018;512;;12.6
26.04.2018;528;;12.8
27.04.2018;527;;12.4
28.04.2018;524;;12.2
29.04.2018;524;;12.5
30.04.2018;526;;12.7
01.05.2018;518;;12.5
02.05.2018;512;;12.2
03.05.2018;524;;12.4
04.05.2018;507;;12.8
05.05.2018;534;;12.6
06.05.2018;;;12.4
07.05.2018;;;12.6
08.05.2018;;;12.6
09.05.2018;;;12.9
10.05.2018;;;13
11.05.2018;498;;13.2
12.05.2018;502;;13.6
13.05.2018;501;;13.8
14.05.2018;529;;13.7
15.05.2018;537;;13
16.05.2018;526;;12.6
17.05.2018;525;;12.8
18.05.2018;510;;13.1
19.05.2018;519;;13.2
20.05.2018;520;;13.1
21.05.2018;509;;12.9
22.05.2018;517;;12.9
23.05.2018;520;;13.4
24.05.2018;523;;13.8
25.05.2018;520;;13.8
26.05.2018;524;;14.2
27.05.2018;519;;14.5
28.05.2018;513;;14.7
29.05.2018;515;;14.9
30.05.2018;517;;15
31.05.2018;516;;15.2
01.06.2018;525;;15.8
02.06.2018;531;;15.6
03.06.2018;524;;15.4
04.06.2018;520;;15.9
05.06.2018;517;;16.3
06.06.2018;501;;16.3
07.06.2018;516;;16.2
08.06.2018;524;;16.3
09.06.2018;531;;16.2
10.06.2018;514;;16.5
11.06.2018;514;;16.8
12.06.2018;514;;16.8
13.06.2018;514;;16.7
14.06.2018;510;;16.3
15.06.2018;509;;16.2
16.06.2018;514;;16.4
17.06.2018;506;;16.5
18.06.2018;520;;16.7
19.06.2018;504;;16.9
20.06.2018;524;;16.8
21.06.2018;495;;16.9
22.06.2018;492;;17
23.06.2018;502;;17
24.06.2018;481;;16.9
25.06.2018;522;;17
26.06.2018;517;;17.3
27.06.2018;500;;17.1
28.06.2018;510;;17.2
29.06.2018;509;;17
30.06.2018;493;;17.3
01.07.2018;506;;17.4
02.07.2018;490;;17.7
03.07.2018;492;;18
04.07.2018;486;;18.2
05.07.2018;510;;18.5
06.07.2018;512;;18.4
07.07.2018;505;;18.3
08.07.2018;495;;18.3
09.07.2018;507;;18.6
10.07.2018;515;;19
11.07.2018;505;;18.8
12.07.2018;498;;18.5
13.07.2018;493;;18.8
14.07.2018;497;;18.9
15.07.2018;478;;19.2
16.07.2018;492;;19.1
17.07.2018;502;;19.1
18.07.2018;479;;19.1
19.07.2018;485;;19.4
20.07.2018;492;;19.7
21.07.2018;506;;19.8
22.07.2018;509;;19.8
23.07.2018;507;;19.5
24.07.2018;502;;19.4
25.07.2018;496;;19.7
26.07.2018;507;;19.9
27.07.2018;490;;20
28.07.2018;488;;20.9
29.07.2018;497;;21.4
30.07.2018;499;;21.3
31.07.2018;503;;21.6
01.08.2018;496;;21.9
02.08.2018;496;;21.7
03.08.2018;512;;21.4
04.08.2018;510;;21.8
05.08.2018;506;;22
06.08.2018;512;;22.1
07.08.2018;511;;22.6
08.08.2018;509;;22.8
09.08.2018;481;;23
10.08.2018;489;;23.2
11.08.2018;495;;23.2
12.08.2018;484;;23
13.08.2018;498;;22.7
14.08.2018;506;;22.4
15.08.2018;498;;21.8
16.08.2018;457;;21.9
17.08.2018;455;;21.8
18.08.2018;460;;22.1
19.08.2018;487;;22.5
20.08.2018;478;;22.6
21.08.2018;468;;22.6
22.08.2018;503;;22.7
23.08.2018;499;;22.6
24.08.2018;510;;22.1
25.08.2018;473;;21.1
26.08.2018;510;;20.1
27.08.2018;505;;19.2
28.08.2018;505;;18.6
29.08.2018;506;;19.2
30.08.2018;502;;19.4
31.08.2018;504;;19.1
01.09.2018;513;;18.2
02.09.2018;513;;16.8
03.09.2018;521;;16.1
04.09.2018;522;;15.6
05.09.2018;508;;15.5
06.09.2018;505;;16.1
07.09.2018;510;;16.3
08.09.2018;497;;16.3
09.09.2018;497;;16.2
10.09.2018;494;;16.4
11.09.2018;500;;16.7
12.09.2018;500;;17
13.09.2018;486;;17.1
14.09.2018;487;;17.1
15.09.2018;510;;17.1
16.09.2018;503;;17.4
17.09.2018;510;;17.5
18.09.2018;497;;17.7
19.09.2018;497;;17.9
20.09.2018;494;;18.1
21.09.2018;497;;18.2
22.09.2018;493;;17.7
23.09.2018;496;;17.3
24.09.2018;492;;17.3
25.09.2018;505;;16.4
26.09.2018;488;;15.7
27.09.2018;500;;15.6
28.09.2018;490;;15.6
29.09.2018;486;;15.4
30.09.2018;488;;15
01.10.2018;511;;14.8
02.10.2018;511;;14.9
03.10.2018;481;;14.6
04.10.2018;486;;14.4
05.10.2018;481;;14.3
06.10.2018;467;;14.3
07.10.2018;475;;14.7
08.10.2018;514;;14.7
09.10.2018;508;;14.4
10.10.2018;504;;14.6
11.10.2018;495;;14.4
12.10.2018;477;;14.3
13.10.2018;477;;14.1
14.10.2018;480;;13.9
15.10.2018;488;;13.9
16.10.2018;487;;13.7
17.10.2018;478;;13.5
18.10.2018;480;;13.6
19.10.2018;496;;13.5
20.10.2018;492;;13.4
21.10.2018;502;;13.2
22.10.2018;491;;13
23.10.2018;477;;12.8
24.10.2018;469;;12.7
25.10.2018;511;;12.4
26.10.2018;499;;12.1
27.10.2018;496;;12.1
28.10.2018;509;;12
29.10.2018;520;;11.6
30.10.2018;562;;11
31.10.2018;553;;10.2
01.11.2018;538;;9.8
02.11.2018;528;;9.5
03.11.2018;527;;9.3
04.11.2018;520;;9.3
05.11.2018;521;;9.4
06.11.2018;515;;9.5
07.11.2018;516;;9.5
08.11.2018;502;;9.8
09.11.2018;511;;10.1
10.11.2018;498;;10.1
11.11.2018;496;;9.9
12.11.2018;500;;9.8
13.11.2018;494;;9.6
14.11.2018;502;;9.6
15.11.2018;484;;9.5
16.11.2018;497;;9.2
17.11.2018;487;;8.7
18.11.2018;474;;8.3
19.11.2018;486;;7.8
20.11.2018;494;;7.3
21.11.2018;504;;7.1
22.11.2018;495;;7.2
23.11.2018;496;;7.1
24.11.2018;483;;7.1
25.11.2018;511;;7.1
26.11.2018;512;;7
27.11.2018;503;;6.7
28.11.2018;483;;6.2
29.11.2018;480;;5.5
30.11.2018;493;;4.9
01.12.2018;512;;4.6
02.12.2018;500;;4.5
03.12.2018;508;;4.8
04.12.2018;496;;5.1
05.12.2018;491;;5.1
06.12.2018;512;;5.1
07.12.2018;508;;5.2
