Datum;vodostaj (cm);pretok (m3/s);temp. vode (°C)
01.01.2018;160;34.501;8
02.01.2018;287;108.428;8.5
03.01.2018;206;60.652;8.3
04.01.2018;164;36.663;8.2
05.01.2018;149;28.634;8.7
06.01.2018;230;74.808;9.3
07.01.2018;248;85.832;9.6
08.01.2018;202;58.289;9.5
09.01.2018;186;48.581;9.7
10.01.2018;258;91.78;9.6
11.01.2018;216;66.443;8.8
12.01.2018;168;38.585;8.3
13.01.2018;141;24.224;8.5
14.01.2018;131;19.614;8.1
15.01.2018;125;17.001;7.5
16.01.2018;123;15.981;7.2
17.01.2018;122;15.511;7.6
18.01.2018;119;14.008;7.6
19.01.2018;115;12.247;7.2
20.01.2018;126;17.199;7.5
21.01.2018;122;15.547;7.9
22.01.2018;116;12.713;7.8
23.01.2018;112;11.182;7.2
24.01.2018;108;9.726;7.1
25.01.2018;106;8.977;6.9
26.01.2018;105;8.517;7.1
27.01.2018;104;8.201;7.4
28.01.2018;103;7.724;8.1
29.01.2018;102;7.476;8.2
30.01.2018;102;7.356;8.4
31.01.2018;102;7.329;8.4
01.02.2018;112;11.425;8.7
02.02.2018;326;133.619;8.7
03.02.2018;293;112.88;8.3
04.02.2018;188;50.262;8.2
05.02.2018;147;27.554;7.8
06.02.2018;135;21.656;7.2
07.02.2018;151;29.617;7.1
08.02.2018;135;21.309;7.2
09.02.2018;126;17.212;8.2
10.02.2018;121;15.061;8.2
11.02.2018;117;13.381;7.5
12.02.2018;115;12.545;6.8
13.02.2018;114;11.879;6.6
14.02.2018;111;10.668;6.6
15.02.2018;107;9.292;6.2
16.02.2018;105;8.576;6.1
17.02.2018;104;8.186;6.3
18.02.2018;107;9.287;6.7
19.02.2018;108;9.738;7.1
20.02.2018;107;9.109;6.6
21.02.2018;105;8.548;6
22.02.2018;104;7.989;5.8
23.02.2018;103;7.683;5.7
24.02.2018;101;7.288;5.6
25.02.2018;100;6.834;4.9
26.02.2018;99;6.488;3.9
27.02.2018;99;6.513;2.9
28.02.2018;98;6.175;1.9
01.03.2018;97;5.895;2
02.03.2018;98;6.167;2.9
03.03.2018;100;6.904;3.9
04.03.2018;99;6.554;5.2
05.03.2018;100;6.846;6.1
